The following is the bestiary how it appears in-game.  So if you are missing monsters in the menu, this list will tell you what you are missing.  If a monster has two names below,
it's because the first name is for Flavor A while the second name is for Flavor B. The name you see in-game will depend on which flavor of ASC you picked.

  	0000         ; Guard  
	0019         ; Lobo  
	001B         ; Vomammoth 	
	0013         ; Were-Rat  
	004D         ; Repo Man    		 		
	0017         ; LesserWolf    	
	0028         ; Dark Wind 	
	005C         ; Sand Ray  	
	005D         ; Areneid   	
	0042         ; M-TekArmor		
	0062         ; Crawly    	
	0063         ; Bleary   	
	002E         ; Hornet    	
	0012         ; Mu    	
	00A8         ; Goblin
	00BC         ; Gigantoad  
	000B         ; Cape Ape   		
	007A         ; Tusker   	
	0086         ; Cirpius     
	009D         ; Funguar	
	00BB         ; Red Wolf  	
	0008         ; Knocker
	0015         ; Rhinotaur 
	0038         ; Nautiloid 	
	0039         ; Piranha   	
	0022         ; Pterodon  
	00EF         ; Hobgoblin 	
	00F4         ; Vaporite  
	0011         ; Grunt 
	0071         ; Vector Pup	
	0094         ; Primordite	
	0036         ; HermitCrab	
	00F5         ; Gold Bear 
	0090         ; Sprinter
	0018         ; Stray Cat 	
	002F         ; CrassHoppr	
	0001         ; Soldier  
	0044         ; Telstar   	
	0002         ; Templar 
	009F         ; HeavyArmor
	001A         ; Rottweiler
	005A         ; Ghost 
	009B         ; Lamentor 
	00CF         ; Bomb   
	00B6         ; Warlock    
	000E         ; Shadow  
	000F         ; Keeper	
	00F1         ; Skeleton
	00B5         ; Wight	
	0059         ; Aspik/Odd Eyes 	
	00E9         ; Sea Flower/Sea Horse	
	003A         ; Anguiform 		    	 				    			
	0065         ; Trooper   
	001C         ; ScoutArmor  	
	0079         ; Fidor	
	003F         ; EliteTroop 
	002A         ; Sahagin     	
	00F8         ; Warg   	 		
	00EB         ; Ogre 
	0032         ; Trilium/Mandrake
	00DF         ; Bandit
	004E         ; Harvester 	
	0053         ; Zozo Gigas	
	006C         ; Iron Fist 	
	00CA         ; SlamDancer		
	0073         ; Vermin 	
	00D1         ; Ratking  
	0023         ; FossilFang  	
	0046         ; Vespula  
	00FA         ; Wyvern 
  	007B         ; Dingo   
	003D         ; ChickenLip	 
	006B         ; Water Hag       	 	
	008D         ; Vulture	  	     	
	00C7         ; Commando   
	0049         ; Hybrid Dog/Cyberhound   
	00FD         ; Sentry
	00D4         ; Protoarmor    
	0064         ; Mega Armor  	
	0047         ; Flan    
	0066         ; General   	  	
	002D         ; Trapper  	
	004B         ; Cygnus 
	0075         ; Rocketmech   
	0006         ; Mag Roader 		 
	0052         ; Red Roader	
	00A0         ; Chaser  
	00A3         ; Intangir  	
	00AA         ; Grenade    	  	
	006E         ; Whisper  	   	
	00B3         ; Coelecite 	
	0069         ; Piscodemon   
	00F3         ; Naga	
	0048         ; Ing       	
	0082         ; Zombone   	
	00C2         ; RoyalGuard 			
	001D         ; Baskervor 	
	001F         ; Chimera 
	00E2         ; Goggler/Cenchos	  	
	00DE         ; Balloon   
	00B8         ; Alligator/Eye Fang   
	00BA         ; Karkinos	  		
	00EE         ; Ochu  
	00D0         ; Harrier  	
	0043         ; Spitfire 
	00E3         ; Skycopter 
	0003         ; Ninja  
	0021         ; Minotaur/Necrotaur  
	0020         ; Behemoth  	   	
	000C         ; Apokryphos
	00A4         ; Float Eye  
	00CC         ; Brainpan    
	0083         ; Dragon    	
	00D8         ; Wyrm		
	00AE         ; Gigantos   	
	0050         ; Naude	
	0072         ; Leaf Bunny   
	00B2         ; Tumbleweed	
	0098         ; Mesosaur
	0031         ; Gilomantis	
	003C         ; Lizard  
	002C         ; Zenene
	00C0         ; Phantom	  
	0097         ; Antlion   		
	0058         ; Buffalax  
	0093         ; Bloompire  		
	00A7         ; Crawler  
	00DB         ; Coeurl      	
	00B9         ; Garuda 	
	005F         ; Sand Worm	
	00D5         ; DragonBone/BlackFang   
	0057         ; Leech Bat  
	00DD         ; Gigas Worm  
	00E1         ; Humpty  			
	00CB         ; Velamyu    
	008B         ; Pipsqueak    
	0077         ; Cruller   	    	  	 	  		
	008E         ; Delta Bug   
	0089         ; Zu   
	0068         ; Hill Gigas    
 	0040         ; Chupon  
	0005         ; Orog      	
	006F         ; PowerDemon	
	0010         ; DeathRider 	
	0091         ; Exoray    	
	0061         ; Malboro 					
	0076         ; Tortoise 	
	003B         ; Reach Frog	
	0099         ; Basilisk  	
	00C3         ; Nomad  	
	0014         ; Virago     	
	00F2         ; HadesGigas  
	00A9         ; NeckHunter	  	  
	00C5         ; Scrapper  	
	003E         ; Slagworm   
	007D         ; Gigantuar 
	004C         ; Cactuar 
	008F         ; Blood Horn	
	007E         ; Aps   
	007C         ; Iguion  
	0033         ; Nightshade	
	00E6         ; Mummy     
	00B1         ; Pumpkin  		
	00AD         ; DoomKnight	 
	00E8         ; Burnt Flan    
	005B         ; Baretta   	
	00D2         ; Centipede  
	00CE         ; Troll  
	009C         ; Dante
	00B4         ; Amarok  
	00DC         ; Brain Bug  
	00E7         ; Life Eater	
	008C         ; Mind Flayer	
